state,date,new_cases,avg_cases,total_cases,recent_new,color
Arizona,2021-02-25,1245,1283.5714285714287,868830,1534.2857142857142,orange
Arizona,2021-02-26,1447,1195.5714285714287,868830,1472.5714285714287,orange
Arizona,2021-02-27,989,1103.0,868830,1310.142857142857,orange
Arizona,2021-02-28,898,1129.7142857142858,868830,1283.5714285714287,orange
Arizona,2021-03-01,1036,1082.2857142857142,868830,1195.5714285714287,orange
Arizona,2021-03-02,1013,1148.4285714285713,868830,1103.0,orange
Arizona,2021-03-03,1280,1255.0,868830,1129.7142857142858,orange
Arizona,2021-03-04,913,1317.4285714285713,868830,1082.2857142857142,orange
Arizona,2021-03-05,1910,1281.2857142857142,868830,1148.4285714285713,orange
Arizona,2021-03-06,1735,1217.0,868830,1255.0,orange
Arizona,2021-03-07,1335,1152.7142857142858,868830,1317.4285714285713,orange
Arizona,2021-03-08,783,1284.4285714285713,868830,1281.2857142857142,orange
Arizona,2021-03-09,563,1206.857142857143,868830,1217.0,orange
Arizona,2021-03-10,830,996.4285714285714,868830,1152.7142857142858,orange
Arizona,2021-03-11,1835,898.4285714285714,868830,1284.4285714285713,orange
Arizona,2021-03-12,1367,879.1428571428571,868830,1206.857142857143,orange
Arizona,2021-03-13,262,869.0,868830,996.4285714285714,orange
Arizona,2021-03-14,649,814.1428571428571,868830,898.4285714285714,orange
Arizona,2021-03-15,648,591.7142857142857,868830,879.1428571428571,orange
Arizona,2021-03-16,492,460.57142857142856,868830,869.0,orange
Arizona,2021-03-17,446,524.4285714285714,868830,814.1428571428571,orange
Arizona,2021-03-18,278,501.42857142857144,868830,591.7142857142857,orange
Arizona,2021-03-19,449,478.0,868830,460.57142857142856,orange
Arizona,2021-03-20,709,480.14285714285717,868830,524.4285714285714,orange
Arizona,2021-03-21,488,502.85714285714283,868830,501.42857142857144,orange
Arizona,2021-03-22,484,482.85714285714283,868830,478.0,orange
Arizona,2021-03-23,507,500.2857142857143,868830,480.14285714285717,orange
Arizona,2021-03-24,605,509.85714285714283,868830,502.85714285714283,orange
Arizona,2021-03-25,138,519.2857142857143,868830,482.85714285714283,orange
Arizona,2021-03-26,571,537.7142857142857,868830,500.2857142857143,orange
Arizona,2021-03-27,776,547.7142857142857,868830,509.85714285714283,orange
Arizona,2021-03-28,554,566.0,868830,519.2857142857143,orange
Arizona,2021-03-29,613,601.8571428571429,868830,537.7142857142857,orange
Arizona,2021-03-30,577,653.4285714285714,868830,547.7142857142857,orange
Arizona,2021-03-31,733,643.4285714285714,868830,566.0,orange
Arizona,2021-04-01,389,630.5714285714286,868830,601.8571428571429,orange
Arizona,2021-04-02,932,631.4285714285714,868830,653.4285714285714,orange
Arizona,2021-04-03,706,630.0,868830,643.4285714285714,orange
Arizona,2021-04-04,464,632.8571428571429,868830,630.5714285714286,orange
Arizona,2021-04-05,619,673.8571428571429,868830,631.4285714285714,orange
Arizona,2021-04-06,567,726.4285714285714,868830,630.0,orange
Arizona,2021-04-07,753,740.5714285714286,868830,632.8571428571429,orange
Arizona,2021-04-08,676,751.2857142857143,868830,673.8571428571429,orange
Arizona,2021-04-09,1300,760.7142857142857,868830,726.4285714285714,orange
Arizona,2021-04-10,805,767.4285714285714,868830,740.5714285714286,orange
Arizona,2021-04-11,539,719.2857142857143,868830,751.2857142857143,orange
Arizona,2021-04-12,685,688.5714285714286,868830,760.7142857142857,orange
